正成名城左岸,3室2厅1厨1卫,86.14㎡,pidou,高楼层 (共28层),东北,84万,9752元/平米,2008年
兴秀丽景,4室3厅1厨3卫,176.62㎡,pidou,高楼层 (共6层),东北,128万,7248元/平米,2006年
派克公馆,4室2厅1厨2卫,175.46㎡,pidou,低楼层 (共18层),东北,220万,12539元/平米,2011年
绿地国际花都三期,2室2厅1厨1卫,78.54㎡,pidou,高楼层 (共32层),西北 东北,94万,11969元/平米,2014年
合能四季城一期,3室2厅1厨1卫,79.68㎡,pidou,中楼层 (共28层),东南,110万,13806元/平米,2013年
派克公馆,2室2厅1厨1卫,88.4㎡,pidou,高楼层 (共18层),东北,130万,14706元/平米,2011年
龙湖弗莱明戈一期,3室1厅1厨2卫,81.44㎡,pidou,低楼层 (共32层),东南,105万,12893元/平米,2012年
交大卡布里城,1室1厅1厨1卫,50.59㎡,pidou,中楼层 (共25层),西北,60万,11861元/平米,2008年
中铁塔米亚,3室2厅1厨2卫,107.43㎡,pidou,低楼层 (共18层),东北,153万,14242元/平米,2011年
派克公馆,2室2厅1厨1卫,104.02㎡,pidou,低楼层 (共14层),东南,152万,14613元/平米,2008年
西郡兰庭,2室2厅1厨1卫,73.08㎡,pidou,中楼层 (共17层),西南,96万,13137元/平米,2010年
派克公馆,2室2厅1厨1卫,71.15㎡,pidou,中楼层 (共12层),东南,110万,15461元/平米,2011年
怡景城市花苑,3室2厅1厨3卫,85.96㎡,pidou,高楼层 (共26层),东南,130万,15124元/平米,2013年
警苑小区,5室2厅1厨3卫,227.04㎡,pidou,高楼层 (共6层),东南,145万,6387元/平米,未知年建
华邑阳光里,3室2厅1厨2卫,71.52㎡,pidou,中楼层 (共28层),西北,115万,16080元/平米,2015年
华润橡树湾A区,4室2厅1厨2卫,150.02㎡,pidou,中楼层 (共6层),西南,205万,13665元/平米,2013年
西区花园水云涧,4室2厅1厨2卫,158㎡,pidou,高楼层 (共6层),东,180万,11393元/平米,2005年
成都后花园三期,4室2厅1厨2卫,146.74㎡,pidou,高楼层 (共25层),西南,320万,21808元/平米,2012年
中铁塔米亚,2室2厅1厨1卫,81.01㎡,pidou,高楼层 (共18层),西北,120万,14813元/平米,2011年
万树森林二期,4室2厅1厨2卫,133.19㎡,pidou,中楼层 (共11层),南,142万,10662元/平米,2008年
派克公馆,2室2厅1厨1卫,75.2㎡,pidou,低楼层 (共12层),东北,133万,17687元/平米,2011年
天邑宏御花园御苑,2室2厅1厨1卫,93.43㎡,pidou,高楼层 (共25层),西,95万,10169元/平米,2016年
万树森林二期,3室2厅1厨2卫,130.75㎡,pidou,高楼层 (共18层),东南,155万,11855元/平米,2008年
君临天下,4室2厅1厨3卫,282㎡,pidou,低楼层 (共1层),东南,420万,14894元/平米,2004年
华润橡树湾A区,3室2厅1厨1卫,53.75㎡,pidou,高楼层 (共34层),东南,116万,21582元/平米,2013年
合能四季城一期,3室1厅1厨1卫,79.52㎡,pidou,中楼层 (共28层),东南,98万,12324元/平米,2013年
成都后花园三期,3室2厅1厨2卫,100.71㎡,pidou,中楼层 (共25层),南,175万,17377元/平米,2012年
绿地国际花都三期,3室2厅1厨1卫,83.3㎡,pidou,高楼层 (共32层),西南,98万,11765元/平米,2014年
海骏达蜀都1号一期北区,2室1厅1厨1卫,61㎡,pidou,高楼层 (共25层),南,80万,13115元/平米,2013年
阳光小筑二期,3室1厅1厨1卫,78.94㎡,pidou,高楼层 (共18层),东南,65万,8235元/平米,2009年
派克公馆,2室2厅1厨1卫,89.63㎡,pidou,低楼层 (共18层),西南,120万,13389元/平米,2011年
成都后花园二期,4室1厅1厨3卫,298.18㎡,pidou,中楼层 (共5层),东南,405万,13583元/平米,2011年
华润橡树湾B区,3室2厅1厨2卫,77.94㎡,pidou,中楼层 (共34层),西南,140万,17963元/平米,2013年
中信未来城北区,2室1厅1厨1卫,78.46㎡,pidou,中楼层 (共33层),东南,102万,13001元/平米,2013年
绿地国际花都三期,4室2厅1厨2卫,126.05㎡,pidou,低楼层 (共32层),南,140万,11107元/平米,2014年
华邑阳光里,4室2厅1厨2卫,99.94㎡,pidou,高楼层 (共30层),东南,170万,17011元/平米,2015年
东顺小区,6室2厅1厨3卫,172㎡,pidou,高楼层 (共5层),南,121万,7035元/平米,未知年建
派克公馆,3室2厅1厨2卫,117.11㎡,pidou,中楼层 (共18层),东南,155万,13236元/平米,2011年
派克公馆,3室2厅1厨2卫,130.23㎡,pidou,高楼层 (共18层),东南,195万,14974元/平米,2011年
华润橡树湾A区,3室2厅1厨1卫,54.1㎡,pidou,高楼层 (共34层),西南,110万,20333元/平米,2013年
锦绣东方,2室1厅1厨1卫,79.66㎡,pidou,低楼层 (共18层),西南,75.2万,9441元/平米,2015年
锦苑三期,4室2厅1厨2卫,134.29㎡,pidou,高楼层 (共11层),南,145万,10798元/平米,2000年
中信未来城南区,4室1厅1厨2卫,120.06㎡,pidou,高楼层 (共33层),东南,149万,12411元/平米,2013年
绿地国际花都三期,4室2厅1厨2卫,124㎡,pidou,低楼层 (共32层),东北,150万,12097元/平米,2014年
阿坝干休二所,4室2厅1厨2卫,159.83㎡,pidou,高楼层 (共6层),东南,72万,4505元/平米,未知年建/
中信未来城南区,4室2厅1厨2卫,116.38㎡,pidou,低楼层 (共27层),西南,158万,13577元/平米,2013年
绿地国际花都,6室3厅1厨2卫,185㎡,pidou,高楼层 (共31层),东北,300万,16217元/平米,2015年
三九八家属区,2室1厅1厨1卫,54.97㎡,pidou,中楼层 (共6层),东,39万,7095元/平米,未知年建
晶宝维吉尼亚,1室1厅1厨1卫,49.06㎡,pidou,低楼层 (共18层),南,50万,10192元/平米,2012年
兴秀丽景,4室2厅1厨2卫,179.69㎡,pidou,低楼层 (共6层),东南,135万,7513元/平米,2006年
天府明珠花园,4室2厅1厨2卫,192.71㎡,pidou,高楼层 (共6层),东南,158万,8199元/平米,2005年
中铁西郡英华二期,3室2厅1厨2卫,108.87㎡,pidou,高楼层 (共31层),东,108万,9921元/平米,2013年
西区花园花园洋房,4室2厅1厨2卫,162.59㎡,pidou,高楼层 (共6层),西南,185万,11379元/平米,2004年
何公路86号,3室2厅1厨2卫,76.73㎡,pidou,高楼层 (共6层),东南,45万,5865元/平米,未知年建
置信逸都C区,4室2厅1厨2卫,132㎡,pidou,中楼层 (共33层),西,130万,9849元/平米,2012年
西江月,4室2厅1厨2卫,145.08㎡,pidou,中楼层 (共16层),南,260万,17922元/平米,2009年
时代水岸康城,3室1厅1厨1卫,74.6㎡,pidou,高楼层 (共25层),西南,75万,10054元/平米,2013年
水岸天城,4室2厅1厨2卫,145.88㎡,pidou,中楼层 (共6层),东南,138万,9460元/平米,2009年
中冶田园世界,2室2厅1厨1卫,73.91㎡,pidou,高楼层 (共25层),东北,83万,11230元/平米,2013年
书香府邸二期英伦,2室2厅1厨1卫,85.63㎡,pidou,中楼层 (共16层),东南,125万,14598元/平米,2011年
时代花城豪庭二期,4室1厅1厨2卫,118.38㎡,pidou,高楼层 (共18层),西南,158万,13347元/平米,2010年
书香府邸,1室1厅1厨1卫,53.35㎡,pidou,高楼层 (共16层),西南,78万,14621元/平米,2009年
万基金蓝湾,1室0厅1厨1卫,36.35㎡,pidou,低楼层 (共18层),西北,23万,6328元/平米,2009年
公园榕郡,3室2厅1厨1卫,87.74㎡,pidou,中楼层 (共18层),东南,110万,12538元/平米,2011年
华润橡树湾B区,2室1厅1厨1卫,52.08㎡,pidou,低楼层 (共34层),西北,93万,17858元/平米,2013年
公园榕郡,4室2厅1厨2卫,121.55㎡,pidou,高楼层 (共18层),东南,130万,10696元/平米,2011年
交大卡布里城,4室2厅1厨2卫,132.1㎡,pidou,低楼层 (共25层),南,152万,11507元/平米,2009年
合能四季城二期,4室2厅1厨2卫,131.07㎡,pidou,高楼层 (共29层),东南,160万,12208元/平米,2014年
华润橡树湾A区,3室1厅1厨1卫,53.75㎡,pidou,高楼层 (共34层),西南,120万,22326元/平米,2013年
万基金蓝湾,3室1厅1厨2卫,126.05㎡,pidou,中楼层 (共24层),西南,120万,9521元/平米,2009年
实久花园,3室2厅1厨2卫,117.77㎡,pidou,低楼层 (共11层),西南,122万,10360元/平米,2000年
傲城,2室1厅1厨1卫,72.17㎡,pidou,高楼层 (共31层),南,110万,15242元/平米,2015年
华润橡树湾A区,3室2厅1厨1卫,54.1㎡,pidou,高楼层 (共34层),东南,110万,20333元/平米,2013年
派克公馆,2室2厅1厨2卫,115.73㎡,pidou,低楼层 (共6层),东南,170万,14690元/平米,2011年
一里阳光,2室2厅1厨1卫,89.32㎡,pidou,中楼层 (共6层),西南,80万,8957元/平米,2013年
一里阳光,3室2厅1厨2卫,112㎡,pidou,高楼层 (共32层),东北,138万,12322元/平米,2013年
书香府邸,2室2厅1厨1卫,92.27㎡,pidou,低楼层 (共16层),东南,135万,14631元/平米,2009年
交大卡布里城,3室2厅1厨1卫,98.97㎡,pidou,中楼层 (共25层),西南,125万,12631元/平米,2009年
海骏达蜀都1号凯悦二期,3室1厅1厨2卫,109.29㎡,pidou,中楼层 (共31层),西北,130万,11895元/平米,2013年
派克公馆,3室2厅1厨2卫,131.1㎡,pidou,中楼层 (共6层),西北,176万,13425元/平米,2011年
华润橡树湾B区,3室1厅1厨1卫,62.4㎡,pidou,中楼层 (共34层),西北,116万,18590元/平米,2013年
溪地湾,3室2厅1厨2卫,88.98㎡,pidou,中楼层 (共33层),东南,132万,14835元/平米,2015年
正成名城左岸,2室2厅1厨1卫,80.3㎡,pidou,中楼层 (共28层),西南,80.9万,10075元/平米,2008年
国安尚郡,1室1厅1厨1卫,56.34㎡,pidou,中楼层 (共16层),南,52万,9230元/平米,2007年
