长天路32号社区,2室1厅1厨1卫,59.86㎡,,高楼层 (共7层),东南,85万,14200元/平米,1995年
天空城,2室2厅1厨1卫,88.03㎡,,中楼层 (共28层),西南,162万,18403元/平米,2010年
优品尚东,2室2厅1厨1卫,86.21㎡,,中楼层 (共18层),西,175万,20300元/平米,2009年
千居朝阳,3室2厅1厨2卫,120.18㎡,,中楼层 (共18层),东北,248万,20636元/平米,2008年
金科一城,2室2厅1厨1卫,68.79㎡,,低楼层 (共20层),西,123万,17881元/平米,2009年
合能耀之城,2室1厅1厨1卫,49.12㎡,,高楼层 (共27层),西,110万,22395元/平米,2010年
华润二十四城一期,3室2厅1厨1卫,88.39㎡,,中楼层 (共32层),北,256万,28963元/平米,2007年
绿地世纪城,2室2厅1厨1卫,71.07㎡,,高楼层 (共21层),西,125万,17589元/平米,2016年
华润二十四城二期,3室2厅1厨1卫,79.53㎡,,中楼层 (共32层),东,230万,28920元/平米,2010年
城市博客C城,1室1厅1厨1卫,51.29㎡,,中楼层 (共34层),西,94万,18328元/平米,2010年
首创国际城二期,1室2厅1厨1卫,61.12㎡,,中楼层 (共34层),西北,110万,17998元/平米,2011年
上行锦绣,2室2厅1厨1卫,72.34㎡,,中楼层 (共21层),东北,122万,16865元/平米,2010年
华宇阳光水岸,2室2厅1厨1卫,78.01㎡,,中楼层 (共21层),南,143万,18331元/平米,2010年
首创爱这城一二期,2室2厅1厨1卫,87.04㎡,,中楼层 (共33层),东,168万,19302元/平米,2009年
合能耀之城,2室1厅1厨1卫,47.3㎡,,中楼层 (共29层),东,105万,22199元/平米,2010年
东立国际广场,3室2厅1厨2卫,112.41㎡,,低楼层 (共22层),东南,162万,14412元/平米,2008年
新鸿一区,2室1厅1厨1卫,69㎡,,中楼层 (共6层),南 北,103万,14928元/平米,1994年
红枫岭三期,3室2厅1厨1卫,110.05㎡,,低楼层 (共33层),西南,195万,17720元/平米,2009年
蓝光锦绣城一期,2室1厅1厨1卫,77.06㎡,,高楼层 (共30层),东北,143万,18557元/平米,2012年
现代北苑,3室2厅1厨2卫,95.35㎡,,高楼层 (共7层),南,135万,14159元/平米,2003年
双林路196号,2室1厅1厨1卫,73.41㎡,,低楼层 (共7层),南,99.5万,13555元/平米,未知年建/
首创国际城二期,2室2厅1厨1卫,85.4㎡,,高楼层 (共34层),西北,170万,19907元/平米,2011年
兴元华盛一期,2室2厅1厨1卫,78.44㎡,,低楼层 (共18层),南,115万,14661元/平米,2008年
舜和家园A区,2室1厅1厨1卫,64.42㎡,,高楼层 (共28层),东南,96万,14903元/平米,2009年
红枫岭三期,2室2厅1厨2卫,89.86㎡,,中楼层 (共28层),西南,158万,17583元/平米,2009年
沙河明珠,3室2厅1厨1卫,98.52㎡,,高楼层 (共18层),东,192万,19489元/平米,2008年
