东珠美地,3室2厅1厨2卫,78.32㎡,,低楼层 (共18层),东,190万,24260元/平米,2002年
玉沙路163号,4室2厅1厨2卫,129.51㎡,,中楼层 (共7层),北,190万,14671元/平米,1994年
正成香域,2室1厅1厨1卫,66.15㎡,,中楼层 (共6层),南,160万,24188元/平米,2005年
听城,2室1厅1厨1卫,89.02㎡,,低楼层 (共25层),东南,215万,24152元/平米,2009年
澄江街3号,2室1厅1厨1卫,57.69㎡,,中楼层 (共7层),东,86万,14908元/平米,未知年建/
中铁双龙湾,4室2厅1厨2卫,151.56㎡,,高楼层 (共20层),西,306万,20191元/平米,2008年
蜀风花园城,4室2厅1厨1卫,218.27㎡,,低楼层 (共6层),东南,490万,22450元/平米,2003年
世界贸易中心,3室1厅1厨2卫,166㎡,,中楼层 (共29层),北,210万,12651元/平米,2003年
铸信境界,2室2厅1厨1卫,82.29㎡,,高楼层 (共27层),东,198万,24062元/平米,2009年
清水河畔,2室2厅1厨1卫,75.89㎡,,中楼层 (共23层),东北,126.5万,16669元/平米,2008年
美丽朋城,2室1厅1厨1卫,63.41㎡,,高楼层 (共12层),西,91万,14352元/平米,2007年
鼓楼北二街36号,2室1厅1厨1卫,55.96㎡,,高楼层 (共6层),东,83万,14833元/平米,未知年建/
现代城人民公园,2室2厅1厨1卫,89.97㎡,,低楼层 (共23层),东南,180万,20007元/平米,2004年
鸿运之星,3室1厅1厨1卫,96.17㎡,,中楼层 (共16层),东南,95万,9879元/平米,2009年
文武路152号,2室1厅1厨1卫,70.65㎡,,中楼层 (共6层),东,116万,16419元/平米,1990年
锦卉苑,2室2厅1厨1卫,97.05㎡,,低楼层 (共7层),东,138万,14220元/平米,2000年
凯德风尚,2室2厅1厨1卫,86.24㎡,,低楼层 (共19层),北,190万,22032元/平米,2012年
tt尚品,2室2厅1厨1卫,83.49㎡,,高楼层 (共18层),北,180万,21560元/平米,2007年
碧华邻,3室2厅1厨2卫,143.37㎡,,中楼层 (共18层),南 北,360万,25110元/平米,2007年
卧龙晓城,3室2厅1厨2卫,147.48㎡,,高楼层 (共6层),东,215万,14579元/平米,2003年
中铁西城东苑,4室3厅1厨2卫,120.84㎡,,低楼层 (共18层),南 北,280万,23172元/平米,2012年
万和电信公寓,3室2厅1厨2卫,137.93㎡,,高楼层 (共18层),东,260万,18851元/平米,2000年
锦绣光华,3室1厅1厨2卫,108.3㎡,,中楼层 (共21层),南,170万,15698元/平米,2010年
金阳易诚国际,2室1厅1厨1卫,74.48㎡,,中楼层 (共22层),东,145万,19469元/平米,2010年
光华苑一期,3室1厅1厨1卫,75㎡,,低楼层 (共7层),南,120万,16000元/平米,2000年
中海金沙府,3室2厅1厨2卫,155.48㎡,,中楼层 (共31层),东南,460万,29586元/平米,2012年
金沙海棠,4室2厅2厨2卫,191.23㎡,,高楼层 (共20层),西北,450万,23532元/平米,2012年
