中华名园三期D区,3室2厅1厨2卫,130.48㎡,,高楼层 (共16层),南,243万,18624元/平米,2012年
双楠三区,2室1厅1厨1卫,74.12㎡,,高楼层 (共7层),南,90万,12143元/平米,1999年
花间集,3室3厅1厨3卫,203.26㎡,,低楼层 (共6层),北,550万,27059元/平米,2008年
电信南街25号,3室1厅1厨1卫,73.77㎡,,高楼层 (共6层),西 西北,110万,14912元/平米,未知年建
鹭岛国际一二期,3室2厅1厨2卫,146.19㎡,,中楼层 (共14层),东南,355万,24284元/平米,2006年
园中园西苑,3室2厅1厨2卫,108.6㎡,,中楼层 (共7层),南,125万,11511元/平米,2000年
榕苑,3室2厅1厨1卫,83.57㎡,,低楼层 (共6层),西南,103万,12325元/平米,2004年
凯莱国际寓所,2室2厅1厨1卫,89.63㎡,,高楼层 (共6层),南 北,223万,24881元/平米,2007年
锦宏骏苑北区,3室2厅1厨2卫,126.06㎡,,高楼层 (共11层),西北,290万,23005元/平米,2004年
美丽南庭,2室1厅1厨1卫,54.79㎡,,高楼层 (共11层),南,100万,18252元/平米,2009年
中海常春藤花园,2室2厅1厨1卫,84.9㎡,,高楼层 (共16层),东南 西,198万,23322元/平米,2006年
双楠三区,2室1厅1厨1卫,63.58㎡,,低楼层 (共7层),东北,90万,14156元/平米,1999年
会所花园,2室2厅1厨2卫,99.33㎡,,高楼层 (共12层),东 北,136万,13692元/平米,2002年
正基城市主场,2室1厅1厨1卫,56.7㎡,,低楼层 (共20层),东南,120万,21165元/平米,2012年
红城,3室2厅1厨1卫,94.26㎡,,低楼层 (共18层),东南,220万,23340元/平米,2011年
优客联邦二期,2室1厅1厨1卫,78.25㎡,,高楼层 (共17层),东南,168万,21470元/平米,2012年
小学路31号,2室1厅1厨1卫,62.96㎡,,高楼层 (共7层),西,117万,18584元/平米,1996年
杜甫花园,6室2厅1厨3卫,268.26㎡,,高楼层 (共5层),南,310万,11556元/平米,1999年
中海格林威治城,4室1厅1厨2卫,164.87㎡,,高楼层 (共31层),东南,445万,26991元/平米,2006年
百花庭园,3室2厅1厨2卫,116.91㎡,,低楼层 (共6层),南,200万,17108元/平米,2000年
上锦雅筑,3室2厅1厨2卫,111.49㎡,,高楼层 (共17层),东,198万,17760元/平米,2006年
碧云天,3室2厅1厨2卫,121.49㎡,,中楼层 (共7层),西南,210万,17286元/平米,2001年
观南上域,2室1厅1厨1卫,73.51㎡,,高楼层 (共24层),西,170万,23127元/平米,2008年
清荷苑,4室2厅1厨2卫,157.76㎡,,中楼层 (共5层),南,285万,18066元/平米,2000年
溢阳绿城,4室2厅1厨2卫,182.6㎡,,高楼层 (共6层),南,290万,15882元/平米,2002年
天邑华庭,4室2厅1厨2卫,171.39㎡,,高楼层 (共6层),东南,200万,11670元/平米,2008年
鹭岛国际一二期,3室2厅1厨2卫,144.98㎡,,高楼层 (共11层),南,320万,22073元/平米,2006年
布鲁汀,4室2厅1厨2卫,152.1㎡,,低楼层 (共18层),东,222万,14596元/平米,2006年
溢阳绿城,3室1厅1厨1卫,89㎡,,低楼层 (共6层),东 西,202万,22697元/平米,2002年
世豪嘉柏,2室2厅1厨1卫,72.34㎡,,高楼层 (共22层),西,132万,18248元/平米,2014年
阳光苑,3室2厅1厨2卫,146.81㎡,,高楼层 (共8层),西 西北,182万,12397元/平米,2000年
川大竹林村,1室1厅1厨1卫,42.63㎡,,低楼层 (共7层),南,95万,22285元/平米,2000年
绿地圣路易名邸一期,2室2厅1厨1卫,86.5㎡,,低楼层 (共12层),东南,166万,19191元/平米,2012年
中海龙湾半岛,3室2厅1厨2卫,140.09㎡,,高楼层 (共18层),东,398万,28411元/平米,2009年
交通厅宿舍,2室1厅1厨1卫,78.67㎡,,高楼层 (共5层),南,118万,15000元/平米,1985年
郭家桥西街4号,2室1厅1厨1卫,61.49㎡,,低楼层 (共7层),南,105万,17076元/平米,2001年
武海中华锦绣,2室2厅1厨1卫,74.4㎡,,中楼层 (共15层),东南,130万,17474元/平米,2011年
武侯国际花园,2室2厅1厨2卫,88.92㎡,,低楼层 (共13层),南,160万,17994元/平米,2009年
中海锦城一期,3室2厅1厨1卫,94.82㎡,,低楼层 (共13层),南,173万,18246元/平米,2011年
中华名园一期,4室2厅1厨3卫,149.55㎡,,中楼层 (共11层),东南,262万,17520元/平米,2006年
新时空公寓,1室1厅1厨1卫,56.15㎡,,高楼层 (共10层),东南,113万,20125元/平米,2002年
凯莱帝景,5室3厅1厨3卫,304㎡,,高楼层 (共33层),东,395万,12994元/平米,2001年
中铁骑士公馆,2室1厅1厨1卫,69.63㎡,,高楼层 (共18层),北,135万,19389元/平米,2013年
棕东小区,5室2厅1厨2卫,173.03㎡,,低楼层 (共7层),南 北,340万,19650元/平米,2000年
绿地圣路易名邸一期,2室2厅1厨1卫,88.89㎡,,高楼层 (共12层),南,168万,18900元/平米,2012年
绿地圣路易名邸一期,2室2厅1厨1卫,88.16㎡,,低楼层 (共12层),东,160万,18149元/平米,2012年
中华名园二期,2室2厅1厨1卫,89.43㎡,,低楼层 (共16层),东南,160万,17892元/平米,2009年
教育学院教师公寓,3室2厅1厨2卫,123.54㎡,,中楼层 (共31层),西,268万,21694元/平米,2010年
上道西城,2室2厅1厨1卫,86.74㎡,,高楼层 (共11层),东南,130万,14988元/平米,2008年
教育学院教师公寓,3室2厅1厨2卫,123.54㎡,,中楼层 (共31层),东,265万,21451元/平米,2010年
花间集,3室2厅1厨1卫,97.87㎡,,中楼层 (共18层),南,198万,20231元/平米,2008年
会所花园,2室2厅1厨1卫,84.74㎡,,低楼层 (共12层),南,125万,14752元/平米,2002年
会所花园,2室2厅1厨1卫,82.31㎡,,低楼层 (共12层),东北,116万,14094元/平米,2002年
丽景华庭二期,2室1厅1厨1卫,88.95㎡,,高楼层 (共16层),西,175万,19674元/平米,2006年
郭家桥正街5号,3室1厅1厨1卫,80.47㎡,,中楼层 (共5层),南,136万,16901元/平米,2009年
黉门公馆,2室1厅1厨2卫,95.66㎡,,中楼层 (共24层),南,170万,17772元/平米,2006年
名士公馆,3室2厅1厨2卫,131.23㎡,,中楼层 (共11层),南,250万,19051元/平米,2003年
观南上域,3室2厅1厨1卫,95.44㎡,,中楼层 (共24层),南 北,265万,27767元/平米,2008年
桐梓林欧城,2室2厅1厨1卫,88.14㎡,,高楼层 (共22层),南,245万,27797元/平米,2009年
名都苑,3室2厅1厨2卫,142.77㎡,,中楼层 (共5层),东,228万,15970元/平米,2002年
鸿禧花园,3室2厅1厨2卫,137㎡,,低楼层 (共16层),南,242万,17665元/平米,2000年
中海龙湾半岛,2室2厅1厨2卫,95.36㎡,,中楼层 (共18层),南,250万,26217元/平米,2009年
正黄上岭,3室1厅1厨2卫,104.83㎡,,中楼层 (共22层),西,238万,22704元/平米,2007年
中粮祥云二期,3室2厅1厨2卫,143.66㎡,,中楼层 (共17层),西北,368万,25617元/平米,2014年
众合西景,4室2厅1厨3卫,162.44㎡,,高楼层 (共6层),南,248万,15268元/平米,2003年
海德花苑,4室2厅1厨2卫,139.77㎡,,中楼层 (共12层),南,200万,14310元/平米,未知年建/
上锦雅筑,3室2厅1厨2卫,118㎡,,高楼层 (共18层),西,200万,16950元/平米,2006年
南桥花苑,2室1厅1厨1卫,92.5㎡,,中楼层 (共15层),西北,130万,14055元/平米,2000年
新界一期,2室2厅1厨1卫,85.25㎡,,高楼层 (共8层),东,201万,23578元/平米,2008年
园中园东苑,3室1厅1厨1卫,95.07㎡,,高楼层 (共7层),南,106万,11150元/平米,2000年
兴元嘉园,2室2厅1厨1卫,72.1㎡,,高楼层 (共6层),南,115万,15951元/平米,2005年
置信丽都花园B区,4室2厅1厨2卫,162.25㎡,,中楼层 (共10层),东南,350万,21572元/平米,2004年
百花邨,4室2厅1厨2卫,133.22㎡,,中楼层 (共7层),东,158万,11861元/平米,2000年
武侯祠大街262号,3室1厅1厨1卫,84.45㎡,,高楼层 (共6层),南,130万,15394元/平米,1993年
中海龙湾半岛,3室2厅1厨2卫,141.2㎡,,中楼层 (共18层),北,350万,24788元/平米,2009年
中央花园二期,4室2厅1厨2卫,134.4㎡,,中楼层 (共7层),东南 南,166万,12352元/平米,1998年
鹭岛国际一二期,4室2厅1厨3卫,273.91㎡,,中楼层 (共11层),西南,610万,22271元/平米,2006年
爱家馨城,3室1厅1厨2卫,113.45㎡,,中楼层 (共11层),西南,190万,16748元/平米,2004年
丽都花园丽府,4室2厅1厨2卫,177.03㎡,,低楼层 (共18层),西南,485万,27397元/平米,2011年
